Rank,School
1,Oklahoma
2,Virginia Tech
3,UCLA
4,Oklahoma State
5,Florida State
6,Texas
7,Arkansas
8,Arizona State
9,Alabama
10,Northwestern
11,Florida
12,Clemson
13,Duke
14,UCF
15,Tennessee
16,Washington
17,Oregon
18,Georgia
19,Michigan
20,Missouri
21,Kentucky
22,Notre Dame
23,Georgia Tech
24,LSU
25,Ole Miss
26,Louisiana
27,Ohio State
28,Oregon State
29,Mississippi State
30,Nebraska
31,Stanford
32,Arizona
33,Liberty
34,Auburn
35,Charlotte
36,Wisconsin
37,Texas A&M
38,South Florida
39,Wichita State
40,Illinois
41,Minnesota
42,Western Kentucky
43,Boise State
44,North Texas
45,San Diego State
46,Utah
47,Louisville
48,South Dakota State
49,McNeese
50,Texas State
51,Weber State
52,Baylor
53,California
54,BYU
55,Loyola Marymount
56,South Carolina
57,Boston University
58,Iowa State
59,Penn State
60,UConn
61,Cal State Fullerton
62,Miami (OH)
63,UNLV
64,North Carolina
65,Virginia
66,North Florida
67,South Alabama
68,Central Ark.
69,UNI
70,Longwood
71,USC Upstate
72,NC State
73,UNC Greensboro
74,Campbell
75,UAB
76,Texas Tech
77,Indiana
78,Marshall
79,Houston
80,Grand Canyon
81,Troy
82,Delaware
83,Missouri State
84,Kansas
85,Southeastern La.
86,Maryland
87,Boston College
88,North Ala.
89,Lehigh
90,Belmont
91,Louisiana Tech
92,Omaha
93,Syracuse
94,Villanova
95,Murray State
96,Samford
97,Southern Miss.
98,Long Beach State
99,Pittsburgh
100,DePaul
101,George Washington
102,Iowa
103,UMBC
104,Florida Atlantic
105,James Madison
106,Seattle U
107,California Baptist
108,Stony Brook
109,Southern Ill.
110,UNC Wilmington
111,San Diego
112,Tulsa
113,Fordham
114,Portland State
115,Butler
116,Presbyterian
117,Southeast Mo. State
118,Michigan State
119,Coastal Carolina
120,Hawaii
121,Oakland
122,Princeton
123,Bowling Green
124,Canisius
125,UC San Diego
126,Austin Peay
127,Saint Francis (PA)
128,Stephen F. Austin
129,Hofstra
130,FGCU
131,Illinois State
132,Purdue
133,Sacramento State
134,Rutgers
135,North Dakota State
136,Jacksonville State
137,Kennesaw State
138,UT Arlington
139,UAlbany
140,ULM
141,Elon
142,UT Martin
143,Florida International
144,Saint Joseph's
145,Providence
146,Northwestern State
147,Drake
148,Utah State
149,UMass Lowell
150,Middle Tenn.
151,New Mexico
152,UTSA
153,Tennessee Tech
154,Ohio
155,Bradley
156,South Dakota
157,Cal State Northridge
158,Robert Morris
159,Central Mich.
160,Chattanooga
161,Fairfield
162,Northern Kentucky
163,A&M-Corpus Christi
164,Mount State Mary's
165,Fresno State
166,Rider
167,Saint Louis
168,App State
169,UC Riverside
170,Colorado State
171,Furman
172,Seton Hall
173,Georgia State
174,Tarleton
175,San José State
176,Charleston So.
177,Ball State
178,Morgan State
179,Lipscomb
179,Kent State
181,Harvard
182,Indiana State
183,Idaho State
184,Akron
185,Dixie State
186,Utah Valley
187,UC Davis
188,East Carolina
189,SIUE
190,Memphis
191,Loyola Chicago
192,UTEP
193,New Mexico State
194,Buffalo
195,Creighton
196,Northern Colorado
197,Kansas City
198,Dayton
199,Siena
200,Howard
201,Drexel
202,Marist
203,Bethune-Cookman
204,Stetson
205,Evansville
206,Eastern Ill.
207,UMass
208,Nevada
209,Binghamton
210,Iona
211,St. John's
212,Radford
213,Cleveland State
214,Cal Poly
215,Dartmouth
216,Georgetown
217,State Thomas (MN)
218,Montana
219,Santa Clara
220,Abilene Christian
221,Army West Point
222,UC Santa Barbara
223,Northern Illinois
224,LIU
225,Georgia Southern
226,Houston Baptist
227,Jacksonville
228,George Mason
229,Colgate
230,Nicholls
231,Sam Houston
232,Saint Mary's (CA)
233,Jackson State
234,Cornell
235,Mercer
236,N.C. A&T
237,UIW
238,Towson
239,Youngstown State
240,Winthrop
241,Alabama State
242,Hampton
243,Gardner-Webb
244,Texas Southern
245,UIC
246,Western Caro.
247,Tennessee State
248,Eastern Ky.
249,Western Mich.
250,Florida A&M
251,Toledo
252,Green Bay
253,Yale
254,Valparaiso
255,Norfolk State
256,Fairleigh Dickinson
257,Penn
258,Brown
259,Western Ill.
260,Bucknell
261,Col. of Charleston
262,Bryant
263,IUPUI
264,Niagara
265,Pacific
266,ETSU
267,Lamar
268,Cal State Bakersfield
269,Wagner
270,Southern Utah
271,Monmouth
272,Mississippi Val.
273,Morehead State
274,Holy Cross
275,State Bonaventure
276,North Dakota
277,Columbia
278,Sacred Heart
279,Bellarmine
280,Prairie View A&M
281,Maine
282,Hartford
283,Merrimack
284,Alabama A&M
285,Manhattan
286,Quinnipiac
287,Alcorn
288,Southern
289,N.C. Central
290,Rhode Island
291,Central Conn. State
292,Saint Peter's
293,Lafayette
294,UMES
295,Detroit Mercy
296,Purdue Fort Wayne
297,Grambling
298,Coppin State
299,Ark.-Pine Bluff
300,Delaware State
301,South Carolina State
