Player,Pos,G,RBI,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO,team,game_date
"Jasso, Angel",CF,1,1,4,NA,2,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Syracuse,02/10/2023
"Starr, Ryan",SS,1,0,4,NA,2,1,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,Syracuse,02/10/2023
"Dorazio, Kate",PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Syracuse,02/10/2023
"Knight, Madison",DP/P,1,2,4,1,2,1,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,Syracuse,02/10/2023
"Lantier, Gabby",PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Syracuse,02/10/2023
"Breen, Kelly",2B,1,0,NA,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,Syracuse,02/10/2023
"Posner, Taylor",RF,1,1,4,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,Syracuse,02/10/2023
"Gallegos, Ryan",PR,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Syracuse,02/10/2023
"Alves, Laila",C,1,4,3,0,2,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,Syracuse,02/10/2023
"Galipeau, Tessa",1B,1,0,3,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,Syracuse,02/10/2023
"Ramos, Angie",LF,1,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,Syracuse,02/10/2023
"Clyde, Rebecca",3B,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,Syracuse,02/10/2023
"Hendrix, Lindsey",P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Syracuse,02/10/2023
"Jasso, Angel",CF,1,1,4,1,2,1,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,Syracuse,02/10/2023
