name,url,team
Susannah Anderson,https://bceagles.com//images/2023/1/19/QUA_8518.jpg?width=80&quality=90,Boston College
Maddy Carpe,https://bceagles.com//images/2023/1/19/QUA_8523.jpg?width=80&quality=90,Boston College
Abby Dunning,https://bceagles.com//images/2023/1/19/QUA_8804.jpg?width=80&quality=90,Boston College
Zoe Hines,https://bceagles.com//images/2023/1/19/QUA_8381.jpg?width=80&quality=90,Boston College
Kali Case,https://bceagles.com//images/2023/1/19/QUA_8697.jpg?width=80&quality=90,Boston College
Abigail Knight,https://bceagles.com//images/2023/1/19/QUA_8692.jpg?width=80&quality=90,Boston College
Gianna Sarlo,https://bceagles.com//images/2023/1/19/QUA_9208.jpg?width=80&quality=90,Boston College
Darien Mcdonough. ,https://bceagles.com//images/2023/1/19/QUA_8799.jpg?width=80&quality=90,Boston College
DJ Valido,https://bceagles.com//images/2023/1/23/QUA_8585.jpg?width=80&quality=90,Boston College
Alexis Dale,https://bceagles.com//images/2023/1/23/QUA_8515.jpg?width=80&quality=90,Boston College
Mia Bueno,https://bceagles.com//images/2023/1/23/QUA_8997.jpg?width=80&quality=90,Boston College
Gabrielle Aughton,https://bceagles.com//images/2023/1/23/QUA_8994.jpg?width=80&quality=90,Boston College
Kamryn Warman,https://bceagles.com//images/2023/1/23/QUA_9000.jpg?width=80&quality=90,Boston College
Megan Schouten,https://bceagles.com//images/2023/1/23/QUA_8801.jpg?width=80&quality=90,Boston College
Hannah Slike,https://bceagles.com//images/2023/1/23/QUA_8522.jpg?width=80&quality=90,Boston College
Halie Pappion,https://bceagles.com//images/2023/1/23/QUA_8512.jpg?width=80&quality=90,Boston College
Elisabeth Laviolette,https://bceagles.com//images/2023/1/23/QUA_8370.jpg?width=80&quality=90,Boston College
Maycee Hilt,https://bceagles.com//images/2023/1/23/QUA_8862.jpg?width=80&quality=90,Boston College
Sofia Earle,https://bceagles.com//images/2023/1/23/QUA_8646.jpg?width=80&quality=90,Boston College
Nicole Giery,https://bceagles.com//images/2023/1/23/QUA_8980.jpg?width=80&quality=90,Boston College
AJ Alatorre,https://bceagles.com//images/2023/1/23/QUA_8694.jpg?width=80&quality=90,Boston College
Erika Andal,https://bceagles.com//images/2023/1/23/QUA_9257.jpg?width=80&quality=90,Boston College
Aleyah Terrell,https://bceagles.com//images/2023/1/23/QUA_8861.jpg?width=80&quality=90,Boston College
Marena Knowles,https://clemsontigers.com/wp-content/uploads/2022/10/KnowlesMarena-745x1024.png,Clemson
Rachel Gibson,https://clemsontigers.com/wp-content/uploads/2022/10/GibsonRachel-745x1024.png,Clemson
Brooke McCubbin,https://clemsontigers.com/wp-content/uploads/2022/10/McCubbinBrooke-745x1024.png,Clemson
Reedy Davenport,https://clemsontigers.com/wp-content/uploads/2022/10/DavenportReedy-745x1024.png,Clemson
Aby Vieira,https://clemsontigers.com/wp-content/uploads/2022/10/VieiraAby-745x1024.png,Clemson
Ansley Houston,https://clemsontigers.com/wp-content/uploads/2022/10/HoustonAnsley-745x1024.png,Clemson
Julia Bomhardt,https://clemsontigers.com/wp-content/uploads/2022/10/BomhardtJulia-745x1024.png,Clemson
McKenzie Clark,https://clemsontigers.com/wp-content/uploads/2022/10/ClarkMcKenzie-745x1024.png,Clemson
Grace Hiller,https://clemsontigers.com/wp-content/uploads/2022/10/HillerGrace-745x1024.png,Clemson
Sarah Howell,https://clemsontigers.com/wp-content/uploads/2022/10/HowellSarah-745x1024.png,Clemson
Caroline Jacobsen,https://clemsontigers.com/wp-content/uploads/2022/10/JacobsenCaroline-745x1024.png,Clemson
Haylee Whitesides,https://clemsontigers.com/wp-content/uploads/2022/10/WhitesidesHaylee-745x1024.png,Clemson
Abi Stuart,https://clemsontigers.com/wp-content/uploads/2022/10/StuartAbi-745x1024.png,Clemson
Madison May,https://clemsontigers.com/wp-content/uploads/2022/10/MayMadison-745x1024.png,Clemson
Alia Logoleo,https://clemsontigers.com/wp-content/uploads/2022/10/LogoleoAlia-745x1024.png,Clemson
