no,first_name,last_name,yr,pos,g,tc,po,a,e,fpct,dp,sba,rcs,rcs_percent,pb,ci,team_name,division
24,Jessie,Garcia,Freshman,RHP/INF,60,204,182,21,1,0.995,13,2,0,0,0,0,Arizona Western,1
2,Desiree,Moran,Sophomore,C,60,165,135,25,5,0.97,5,29,1,0.033,3,0,Arizona Western,1
21,Kimberly,Valenzuela,Sophomore,C/INF,41,132,119,6,7,0.947,3,0,0,0,0,0,Arizona Western,1
9,Mackenzie,Barney,Freshman,IF,56,202,114,76,12,0.941,7,0,0,0,0,0,Arizona Western,1
23,GiGi,Garcia,Freshman,IF,57,208,110,62,36,0.827,7,0,0,0,0,0,Arizona Western,1
20,Tanya,Bassig,Sophomore,C/INF,24,87,82,3,2,0.977,0,16,0,0,3,0,Arizona Western,1
1,Valerie,Joaquin,Freshman,IF,62,232,81,114,37,0.841,9,0,0,0,0,0,Arizona Western,1
4,Sherlyn,Molina,Sophomore,RHP/OF,56,91,80,7,4,0.956,2,0,0,0,0,0,Arizona Western,1
8,Natalie,Gonzalez,Freshman,C/OF,20,70,66,3,1,0.986,0,5,0,0,0,0,Arizona Western,1
17,Abigail,Ibarra,Sophomore,OF,54,66,58,3,5,0.924,1,0,0,0,0,0,Arizona Western,1
10,Mollie,Forbes,Freshman,RHP/OF,53,58,52,3,3,0.948,0,0,0,0,0,0,Arizona Western,1
25,Jasmine,Molina,Sophomore,RHP/IF,34,99,34,53,12,0.879,6,0,0,0,0,0,Arizona Western,1
3,Jocelynn,Hernandez,Sophomore,IF/OF,21,19,15,1,3,0.842,0,0,0,0,0,0,Arizona Western,1
7,Annette,Juarez,Sophomore,OF,31,21,13,1,7,0.667,0,0,0,0,0,0,Arizona Western,1
16,Emily,Gamboa,Freshman,RHP/INF,36,37,9,24,4,0.892,1,0,0,0,0,0,Arizona Western,1
12,Ariana,Montiel,Freshman,UTL,10,10,8,1,1,0.9,1,1,1,0.5,0,0,Arizona Western,1
28,Tinley,Schmidgall,Sophomore,RHP/INF,58,10,6,4,0,1,0,0,0,0,0,0,Arizona Western,1
18,Elisa,Garcia,Sophomore,RHP/INF,13,12,1,10,1,0.917,0,0,0,0,0,0,Arizona Western,1
15,Zamara,Gutierrez,Sophomore,RHP/INF,7,3,1,2,0,1,1,2,0,0,0,0,Arizona Western,1
