no,first_name,last_name,yr,pos,g,ab,r,h,x2b,x3b,hr,rbi,bb,k,sb,cs,avg,obp,slg,hbp,sf,sh,tb,xbh,hdp,go,fo,go_fo,pa,team_name,division
1,Valerie,Joaquin,Freshman,IF,62,207,50,74,11,1,0,26,23,21,20,2,0.357,0.423,0.42,2,2,4,87,12,2,48,41,1.17,238,Arizona Western,1
10,Mollie,Forbes,Freshman,RHP/OF,53,145,30,47,8,0,5,30,10,20,3,0,0.324,0.363,0.483,0,2,1,70,13,0,18,49,0.37,158,Arizona Western,1
12,Ariana,Montiel,Freshman,UTL,10,3,4,1,0,0,0,1,0,1,0,0,0.333,0.333,0.333,0,0,0,1,0,0,1,0,0,3,Arizona Western,1
14,Summer,Simpson,Freshman,RHP/INF,22,2,1,1,0,0,0,0,0,0,0,0,0.5,0.667,0.5,1,0,0,1,0,0,0,0,0,3,Arizona Western,1
16,Emily,Gamboa,Freshman,RHP/INF,36,69,9,24,5,0,0,16,6,14,0,0,0.348,0.39,0.42,0,2,1,29,5,2,9,13,0.69,78,Arizona Western,1
17,Abigail,Ibarra,Sophomore,OF,54,143,39,43,17,2,8,29,18,29,3,0,0.301,0.382,0.615,2,2,1,88,27,1,19,33,0.58,166,Arizona Western,1
18,Elisa,Garcia,Sophomore,RHP/INF,13,8,0,1,1,0,0,1,0,2,0,0,0.125,0.125,0.25,0,0,0,2,1,0,2,1,2,8,Arizona Western,1
2,Desiree,Moran,Sophomore,C,60,198,60,78,29,2,4,35,11,23,5,0,0.394,0.426,0.621,3,4,0,123,35,0,29,56,0.52,216,Arizona Western,1
20,Tanya,Bassig,Sophomore,C/INF,24,10,1,3,0,0,0,2,0,3,0,0,0.3,0.364,0.3,1,0,0,3,0,0,1,3,0.33,11,Arizona Western,1
21,Kimberly,Valenzuela,Sophomore,C/INF,41,71,9,22,2,0,0,7,5,5,1,0,0.31,0.355,0.338,0,0,1,24,2,4,19,14,1.36,77,Arizona Western,1
23,GiGi,Garcia,Freshman,IF,57,156,40,62,11,1,18,50,14,28,6,3,0.397,0.451,0.827,2,1,0,129,30,3,19,35,0.54,173,Arizona Western,1
24,Jessie,Garcia,Freshman,RHP/INF,60,171,34,70,15,0,15,59,27,19,0,0,0.409,0.485,0.76,1,3,0,130,30,2,32,38,0.84,202,Arizona Western,1
25,Jasmine,Molina,Sophomore,RHP/IF,34,89,13,30,7,0,1,22,5,9,1,0,0.337,0.372,0.449,0,0,1,40,8,2,14,27,0.52,95,Arizona Western,1
28,Tinley,Schmidgall,Sophomore,RHP/INF,58,191,36,88,20,0,14,59,9,9,1,0,0.461,0.49,0.785,5,3,0,150,34,6,25,50,0.5,208,Arizona Western,1
3,Jocelynn,Hernandez,Sophomore,IF/OF,21,13,14,1,0,0,0,0,2,3,0,0,0.077,0.2,0.077,0,0,1,1,0,0,3,5,0.6,16,Arizona Western,1
4,Sherlyn,Molina,Sophomore,RHP/OF,56,75,8,16,4,0,3,9,9,31,1,1,0.213,0.306,0.387,1,0,0,29,7,0,1,23,0.04,85,Arizona Western,1
5,Itzayana,Gonzalez,Freshman,IF,5,4,2,1,1,0,0,0,0,2,0,0,0.25,0.25,0.5,0,0,0,2,1,0,1,0,0,4,Arizona Western,1
7,Annette,Juarez,Sophomore,OF,31,8,15,3,1,0,1,2,1,2,2,2,0.375,0.444,0.875,0,0,0,7,2,0,1,1,1,9,Arizona Western,1
8,Natalie,Gonzalez,Freshman,C/OF,20,24,3,6,1,0,0,7,0,6,0,1,0.25,0.24,0.292,0,1,3,7,1,0,5,5,1,28,Arizona Western,1
9,Mackenzie,Barney,Freshman,IF,56,145,33,45,5,2,0,20,8,27,9,2,0.31,0.35,0.372,3,4,1,54,7,1,31,26,1.19,161,Arizona Western,1
1,Kyana,Vieux,Sophomore,NA,61,188,78,82,12,4,1,29,27,18,33,1,0.436,0.509,0.559,2,1,0,105,17,0,4,2,2,218,Central Arizona,1
11,Alivia,De la Cruz,Freshman,NA,50,139,58,63,7,3,0,30,20,15,37,0,0.453,0.519,0.547,0,1,0,76,10,0,0,0,0,160,Central Arizona,1
12,Hannah,Nordby,Freshman,NA,20,41,12,14,3,0,1,9,3,12,0,0,0.341,0.4,0.488,1,0,0,20,4,0,0,1,0,45,Central Arizona,1
13,Marina,Acedo,Sophomore,NA,45,121,30,40,4,1,1,17,4,19,4,0,0.331,0.379,0.405,6,1,1,49,6,0,4,4,1,133,Central Arizona,1
14,Megan,Reichley,Freshman,NA,25,56,15,23,6,0,3,17,11,8,2,0,0.411,0.507,0.679,1,1,0,38,9,0,0,0,0,69,Central Arizona,1
16,Gabby,Escontrias,Freshman,NA,46,139,38,53,15,3,6,40,12,20,0,0,0.381,0.447,0.662,6,2,0,92,24,0,1,5,0.2,159,Central Arizona,1
18,Dezeray,Levario,Sophomore,NA,23,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Central Arizona,1
19,Sabrina,Garcia,Sophomore,NA,49,146,28,54,9,0,10,56,18,16,0,0,0.37,0.427,0.637,1,6,0,93,19,0,4,5,0.8,171,Central Arizona,1
20,Kiana,Villa,Freshman,NA,5,3,0,0,0,0,0,0,1,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,4,Central Arizona,1
21,Lauren,Newlin,Freshman,NA,40,99,29,34,9,0,0,14,12,26,3,0,0.343,0.417,0.434,2,2,0,43,9,0,0,0,0,115,Central Arizona,1
22,Asiah,Bell,Sophomore,NA,56,176,64,81,7,5,0,44,12,13,15,2,0.46,0.497,0.557,2,1,2,98,12,0,4,3,1.33,193,Central Arizona,1
24,Jessica,Mercado,Sophomore,NA,37,2,0,1,0,0,0,1,0,0,0,0,0.5,0.5,0.5,0,0,0,1,0,0,0,1,0,2,Central Arizona,1
26,Lisette,Urquidez,Sophomore,NA,53,162,36,64,11,2,9,51,10,26,0,0,0.395,0.427,0.654,2,4,0,106,22,0,2,2,1,178,Central Arizona,1
27,Marissa,Peraza,Freshman,NA,22,57,16,22,4,1,4,19,5,12,3,0,0.386,0.444,0.702,1,0,0,40,9,0,0,0,0,63,Central Arizona,1
28,Ashley,Fields,Sophomore,NA,55,140,27,45,13,2,10,48,23,46,2,0,0.321,0.413,0.657,1,3,0,92,25,0,0,2,0,167,Central Arizona,1
3,Katelyn,Westover,Freshman,NA,10,2,1,1,0,0,1,3,0,1,0,0,0.5,0.5,2,0,0,0,4,1,0,0,0,0,2,Central Arizona,1
5,Michelle,Salazar,Freshman,NA,38,99,23,38,9,1,7,27,5,13,0,0,0.384,0.43,0.707,3,0,0,70,17,0,1,1,1,107,Central Arizona,1
6,Kayla,Lopez,Sophomore,NA,32,45,23,7,1,2,1,6,6,14,5,0,0.156,0.269,0.333,1,0,1,15,4,0,0,1,0,53,Central Arizona,1
9,Kyra,Vieux,Sophomore,NA,52,131,35,58,13,5,3,38,15,12,15,1,0.443,0.497,0.687,0,1,0,90,21,1,2,5,0.4,147,Central Arizona,1
0,Bianca,Valverde,Freshman,OF,16,16,5,0,0,0,0,2,5,4,0,0,0,0.238,0,0,0,0,0,0,0,6,5,1.2,21,Eastern Arizona,1
1,Mariah,Cunningham,Freshman,OF,60,204,72,73,17,9,3,26,27,26,25,2,0.358,0.436,0.574,3,2,0,117,29,0,28,53,0.53,236,Eastern Arizona,1
11,Nohealani,Akana,Sophomore,SS/U,41,112,31,43,11,2,4,26,9,19,18,4,0.384,0.43,0.625,0,0,0,70,17,0,19,17,1.12,121,Eastern Arizona,1
12,Analosa,Laolagi,Freshman,1B,32,71,18,29,11,0,5,25,4,12,0,1,0.408,0.475,0.775,5,0,2,55,16,0,9,10,0.9,82,Eastern Arizona,1
13,Cheyenne,Cunningham,Sophomore,2B,38,91,27,30,9,1,0,15,16,15,4,0,0.33,0.446,0.451,4,1,1,41,10,0,15,22,0.68,113,Eastern Arizona,1
16,Madison,Chavez,Sophomore,3B,32,52,15,15,1,0,0,13,2,9,2,1,0.288,0.339,0.308,2,0,1,16,1,0,13,14,0.93,57,Eastern Arizona,1
18,Aubrey,Garbarek,Sophomore,2B,21,51,9,17,6,0,0,10,2,15,0,0,0.333,0.358,0.451,0,0,0,23,6,1,11,5,2.2,53,Eastern Arizona,1
