no,first_name,last_name,yr,pos,app,gs,w,l,sv,cg,ip,h,r,er,bb,k,k_7,hr,era,team_name,division
24,Jessie,Garcia,Freshman,RHP/INF,27,26,11,13,1,16,130.1,153,105,57,22,99,5.32,17,3.06,Arizona Western,1
16,Emily,Gamboa,Freshman,RHP/INF,27,16,12,9,1,10,128,147,100,66,34,101,5.52,10,3.61,Arizona Western,1
14,Summer,Simpson,Freshman,RHP/INF,20,1,2,1,1,0,52.1,90,84,64,29,24,3.21,12,8.56,Arizona Western,1
18,Elisa,Garcia,Sophomore,RHP/INF,11,10,1,6,0,2,32,44,36,21,21,11,2.41,5,4.59,Arizona Western,1
28,Tinley,Schmidgall,Sophomore,RHP/INF,7,6,3,0,0,0,19,31,16,13,5,10,3.68,1,4.79,Arizona Western,1
15,Zamara,Gutierrez,Sophomore,RHP/INF,7,2,2,1,0,0,12.1,27,23,16,5,5,2.84,3,9.08,Arizona Western,1
25,Jasmine,Molina,Sophomore,RHP/IF,5,1,0,1,0,0,10.2,19,15,11,13,5,3.28,1,7.22,Arizona Western,1
10,Mollie,Forbes,Freshman,RHP/OF,5,0,0,0,0,0,4.2,8,7,5,7,3,4.5,1,7.5,Arizona Western,1
24,Jessica,Mercado,Sophomore,NA,37,28,21,9,3,26,190,185,107,87,56,174,6.41,14,3.21,Central Arizona,1
18,Dezeray,Levario,Sophomore,NA,23,21,15,6,0,13,112.1,138,101,86,71,62,3.86,9,5.36,Central Arizona,1
3,Katelyn,Westover,Freshman,NA,10,5,3,1,0,3,38.1,50,39,33,18,10,1.83,9,6.03,Central Arizona,1
26,Lisette,Urquidez,Sophomore,NA,7,7,3,3,0,5,37,57,43,36,18,20,3.78,6,6.81,Central Arizona,1
20,Kiana,Villa,Freshman,NA,1,0,0,0,0,0,3,8,4,4,2,2,4.67,0,9.33,Central Arizona,1
4,Jaileen,Mancha,Sophomore,P,37,22,22,3,4,19,167.1,96,55,38,47,255,10.67,7,1.59,Eastern Arizona,1
2,Christa,Zagala,Sophomore,P,32,26,15,9,2,14,144,170,117,82,49,165,8.02,27,3.99,Eastern Arizona,1
27,Lauren,Salcido,Sophomore,P,22,15,7,7,1,6,69.2,95,63,48,11,29,2.91,8,4.82,Eastern Arizona,1
7,Wendy,Castro,Sophomore,LHP,29,1,14,6,0,0,131,230,142,115,49,47,2.51,19,6.15,Pima,1
25,Alexis,Tsosie-Hood,Freshman,P,22,2,11,9,0,1,97,137,85,75,36,56,4.04,16,5.41,Pima,1
16,Genesis,Zazueta,Freshman,RHP,15,0,6,6,0,0,68,104,81,61,26,26,2.68,18,6.28,Pima,1
20,Alissandra,Montiel,Sophomore,RHP,15,0,2,4,0,0,31,66,54,44,10,7,1.58,11,9.94,Pima,1
26,Maria,Galloway,Freshman,P/INF,10,0,0,0,0,0,16,30,20,17,13,4,1.75,5,7.44,Pima,1
8,Madison,Fillman-Moreno,Freshman,OF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pima,1
2,Abbie,Bean,Freshman,P,26,23,3,20,0,15,119.2,268,244,206,106,64,3.74,24,12.05,Yavapai,1
22,Genavie,Espinoza,Sophomore,P/UTL,23,13,2,12,0,7,79,167,182,142,95,63,5.58,14,12.58,Yavapai,1
