name,Institution,wRAA,adj_wRAA,OAA,positions
ashley trierweiler,Santa Clara University,37.0735,36.79520357742442,0.6781603838359305,CF
mya dodge,University of Northern Iowa,34.4272,33.8018301400027,-1.4428491759731414,"CF, LF"
laura mealer,Middle Tennessee State University,31.3722,32.45006892588606,0.4609628518293898,SS
korbe otis,University of Louisville,30.625,32.02779013502091,-0.38742732678225245,CF
anna wohlers,DePaul University,26.9607,26.68784758970298,0.009684139683644344,"3B, C"
kelsey hall,Boise State University,25.981,26.41738995761084,0.5991896992277056,"CF, RF"
tanya windle,Utah Tech University,27.0458,25.85692559669101,-0.03929404082474151,CF
nia carter,University of Iowa,21.9115,23.877663634154906,0.18440802540142232,RF
tiffany domingue,University of South Carolina Upstate,24.6576,23.6193031026763,0.8196640120261047,2B
lauren almeida,Utah Tech University,24.0017,22.81282559669101,0.03148511016251221,SS
diamond williams,Coastal Carolina University,21.5368,21.9144261450345,-0.11906534297891883,LF
amelia lech,"University of Maryland, College Park",20.6228,21.558546451906924,0.8996371889008099,"C, RF"
alesia denby,"California State University, Fresno",21.4163,21.21927786760378,0.0043613366906885,SS
joley mitchell,University of Notre Dame,20.0705,21.05645054380552,0.04673186262327489,3B
jaden pone,Longwood University,18.782,19.56986133094806,-0.1522917644375742,"2B, SS"
kelsey alexander,Central Michigan University,19.9435,18.67899142890483,-0.2815932574180569,LF
morgan debord,Loyola Marymount University,16.2854,17.913625154912786,1.452145020732512,"CF, SS"
taryn jenkins,Purdue University Fort Wayne,19.0762,17.014800966663817,0.4884811569431726,2B
shelby smith,Seton Hall University,15.6142,14.422545759911717,0.4123693121851309,"P, LF"
samantha bean,Lamar University,14.507,14.405527366817562,0.27632847715346953,3B
bailee richardson,Georgia State University,12.5063,13.18387692867204,-0.7330863077124108,"2B, 3B"
lindsey garcia,Auburn University,9.8274,12.701236412553,-0.5894297749140669,"RF, LF"
saige alfaro,Canisius College,13.4839,12.440684215671183,0.1652718854926405,2B
sierra sacco,Louisiana Tech University,11.5797,12.279466252558041,0.6096197987992926,CF
camryn middlebrook,Stephen F. Austin State University,12.5262,11.934044782687696,0.4880061907993466,"SS, 2B"
tremere harris,University of Central Arkansas,9.7501,11.445793921412658,0.24855514428497083,LF
morgan hess,Presbyterian College,11.8369,11.30651775857093,-4.2909304877508605,"RF, P, LF, 3B"
morgan hess,Presbyterian College,11.8369,11.30651775857093,-0.5500841562302,"RF, P, LF, 3B"
kenna higa,Norfolk State University,14.2007,11.287830225232511,0.6363833010182214,"3B, 1B"
jadin justman,University of Wisconsin-Green Bay,13.1675,11.192246388371538,-0.4470827852043002,2B
abigail knight,Boston College,8.4122,10.219522730657655,1.0003566883156285,3B
denver bryant,Auburn University,7.0998,9.973636412552999,-3.9810270164770234,"3B, 2B"
aniya holt,Eastern Illinois University,10.6934,8.591826303331665,-0.5311526869724996,2B
sophie weber,Bowling Green State University,9.5603,8.433520018834828,0.1780382571837179,3B
jillian anderson,Southeast Missouri State University,8.9663,8.311775779300891,0.16920050901710987,LF
jazmine hill,Arizona State University,5.5776,8.288320331221676,-1.2309537576239473,"3B, CF, LF, RF"
serena starks,Princeton University,8.2811,7.321362273273262,0.0802685446988955,"LF, CF"
emma robertson,University of Houston,6.0791,7.167781418491503,-0.781007080241577,"C, RF"
carolyn skotz,Yale University,8.2878,7.103864466400405,0.0684332794920417,"2B, SS"
d'asha saiki,"University of California, Berkeley",4.2855,7.033733854147581,-2.8601955327439565,"SS, 2B, 1B"
ryann orange,"Rutgers, The State University of New Jersey, New Brunswick",4.9592,5.718245064762624,-0.5571387368179502,RF
presley leebrick,Lipscomb University,5.5661,5.637376100638165,0.32745959314990336,RF
jaylen prichard,Eastern Illinois University,6.8203,4.718726303331665,-0.2271101909112615,CF
reagan hukill,University of Texas at Arlington,4.9287,4.32542293788825,0.88072009015824,"CF, RF, LF"
trinity schlotterbeck,"University of Maryland, College Park",3.0835,4.0192464519069215,-0.1164333239263424,"P, RF"
riley olson,Florida Atlantic University,3.5228,3.7836070550282317,-0.08896503589155197,"CF, RF"
emily cazares,Arizona State University,0.9896,3.7003203312216755,-2.558654171113664,"RF, LF"
juliana shields,"University of Massachusetts, Amherst",4.2298,3.3573329319016727,-0.1279549585574744,LF
destiny falquez,Canisius College,4.3909,3.347684215671183,-0.1141537563844991,3B
linsey hargis,University of Memphis,2.5672,3.2682771703872104,-0.8103338080237623,"SS, 2B, 3B"
micaela macario,University of Central Florida,1.776,3.171856635118759,0.3294671878623141,2B
lily owens,Lehigh University,3.6918,3.057002899580555,1.1987443313372004,"2B, 3B"
carlee mccondichie,Auburn University,-0.2596,2.6142364125529993,-0.010264608915393714,2B
kiersten landers,Mississippi State University,-0.4589,2.355514748810953,-1.5306637016388558,"RF, LF"
megan ryono,Columbia University-Barnard College,2.9564,2.1338412284244455,0.42417456975226586,2B
lauryn carter,"University of California, Los Angeles",-1.7906,1.4867426779708737,-0.6746927552335591,"CF, RF, LF"
alexis ross,Florida International University,2.0043,1.4760474616307002,-0.14854947927795725,CF
megan welsh,Harvard University,2.8847,1.3665821385752936,0.1701625110415641,RF
michelle leone,Pennsylvania State University,0.2011,1.336838744765213,-1.4193488563922099,"3B, CF"
taylor fitch,Loyola Marymount University,-0.6081,1.0201251549127854,-3.3200304970432946,"3B, 2B, 1B, C"
amanda bricker,California Baptist University,1.4727,1.0159341673487658,-3.84217485427607,"2B, SS, 1B"
alyssa garcia,California Baptist University,-2.2722,1.0051426779708734,-1.5381390827033612,"C, CF"
alexis gilio,Brigham Young University,-0.3342,0.7509567156509547,0.061452770272573135,"RF, 1B"
trinity holden,Portland State University,1.7038,0.4691599604116501,0.3405764636772941,RF
teagan shaw,Harvard University,1.9038,0.38568213857529354,0.4935614018036999,3B
brooke snyder,Michigan State University,-1.8397,0.02983900303518694,0.15766482021104317,RF
gabby villa,Loyola Marymount University,-1.9373,-0.3090748450872145,-1.5326791063988965,"2B, SS"
audrey leclair,University of Michigan,-1.9474,-0.32704838475508513,0.5676488982801673,"3B, RF"
mackenzie kila,East Carolina University,0.2664,-0.408148592765657,-0.9145966253721519,3B
baylee howley,University of North Dakota,0.5524,-0.534327708782844,-3.1674285645273192,"1B, C, 2B"
morgan green,Liberty University,1.1858,-0.7589519209150235,-2.65632247802981,"2B, RF, LF"
lilly hood,University of Texas at San Antonio,-1.6003,-0.8009310036845548,-0.03353086951445544,"RF, CF"
alena ball,George Mason University,0.0041,-0.9219774811964517,1.161215128541083,"RF, CF"
jayne sepulveda,Southern Utah University,-1.1618,-1.3305051988283212,0.166513737568184,2B
morgan hess,Presbyterian College,-0.5376,-1.4034390926672782,-4.2909304877508605,"RF, P, LF, 3B"
morgan hess,Presbyterian College,-0.5376,-1.4034390926672782,-0.5500841562302,"RF, P, LF, 3B"
emily berryhill,Stephen F. Austin State University,-0.8298,-1.4219552173123033,0.05521572298727345,"RF, CF, 2B, LF"
natalie elias,California Baptist University,-1.2688,-1.725565832651234,-0.11201275951499576,RF
kennedy thomas,"University of California, Berkeley",-4.5666,-1.8183661458524192,-1.2284794733297688,"LF, CF, C, RF"
rylie giddens,University of Texas at San Antonio,-2.6588,-1.8594310036845547,-0.28993628659266135,"CF, LF"
trina hoang,Harvard University,-0.8778,-2.3959178614247065,1.3401380081789402,"2B, SS, LF"
avery drake,Houston Christian University,-1.9192,-2.4239503345236715,2.163441527594416,"CF, LF"
ella dalton,University of Nebraska Omaha,-0.2423,-2.429746028845051,0.7696126601797602,"RF, CF, LF"
meghan gormley,Brown University,-0.8898,-2.504697555501991,-0.48577003690185927,"3B, SS"
kaitlin lampson,Harvard University,-1.2778,-2.7959178614247064,-1.1838421271722404,"SS, 2B"
reese wilson,Marist College,-2.3383,-2.9179542077071545,-0.22980240245261485,"3B, 1B, P"
hayley freudenberg,Lamar University,-2.9115,-3.0129726331824376,-1.8288143756550959,"RF, LF, CF"
aleyah terrell,Boston College,-5.3338,-3.5264772693423447,-1.8833530352042405,"LF, RF"
foster sharpe,Radford University,-4.0528,-3.9795559321160963,0.7240568459058518,"2B, RF"
aubree seaney,Oregon State University,-7.2066,-4.1058871521649385,-3.0945843445573247,"LF, 3B"
tori meyer,DePaul University,-3.9743,-4.24715241029702,0.45373048728469423,CF
mckayla carney,Missouri State University,-4.3214,-4.274600348365541,0.8119468767676308,"LF, 3B, RF, 2B"
sophia recrosio,Canisius College,-3.2829,-4.326115784328818,-1.3668413767872951,"RF, LF"
grace frazier,DePaul University,-4.3871,-4.65995241029702,0.08607988981765267,RF
jocylyn vidal,San Jose State University,-5.6507,-4.6731921825302525,-1.2370625671961781,"LF, SS, 1B, 3B"
olivia eckelman,College of the Holy Cross,-2.8637,-4.674835040048162,-0.3969432893000793,CF
savannah price,Arizona State University,-7.3908,-4.680079668778324,1.2214865394783014,"SS, 2B, 3B"
karmyna becerra,California Baptist University,-4.5938,-5.050565832651234,-0.103311822039174,3B
harlie bickett,Lafayette College,-4.8801,-5.063275785055611,0.16096144313785343,SS
desirae martinez,Bethune-Cookman University,-3.0996,-5.067938557117276,-0.49577289856565665,2B
kailyn lorberter,Bucknell University,-3.7778,-5.172934168882999,-0.717341600081431,"2B, 1B"
sydney yoder,East Carolina University,-4.5397,-5.2142485927656566,0.1729442415882761,"LF, C, RF"
logan turner,Florida International University,-4.7582,-5.2864525383693,-0.6340773554550431,"RF, LF"
samantha miller,Coastal Carolina University,-4.1708,-5.330320026545047,-3.0084549990344307,"C, RF, LF, 3B"
samantha miller,Coastal Carolina University,-4.1708,-5.330320026545047,-3.9402623893148525,"C, RF, LF, 3B"
samantha miller,Saint Peter's University,-4.1708,-5.330320026545047,-3.0084549990344307,"C, RF, LF, 3B"
samantha miller,Saint Peter's University,-4.1708,-5.330320026545047,-3.9402623893148525,"C, RF, LF, 3B"
