name,Institution,FIP,adj_FIP
kayla beaver,University of Central Arkansas,1.6908276916217,1.644201118560989
trinity schlotterbeck,"University of Maryland, College Park",1.92097414376691,1.8657697558980366
ashley miller,Michigan State University,2.3294442195212,2.250606255979918
alexis laudenslager,Princeton University,2.22550031066932,2.2622375203425973
morgan leinstock,The University of Southern Mississippi,2.50153465883481,2.471412583542718
sydney boulware,Winthrop University,2.75827341991302,2.8049892314891576
olivia marinelli,Bucknell University,2.83288947323089,2.9035552345847715
denali loecker,University of Iowa,3.03822839255628,2.9528265320421467
hannah price,University of North Alabama,3.01080051770866,3.033914151036665
reis beuerlein,Mississippi State University,3.22399655127082,3.0670984930050538
elena escobar,University of North Alabama,3.08378602495503,3.106899658283035
shelbi denman,Stony Brook University,3.24908835053643,3.208601597162183
jaden martinez,University of South Florida,3.30249788936181,3.249172866638542
mary martinez,Louisiana Tech University,3.30679036648904,3.264240352366125
gabrielle maday,Cornell University,3.2221389661315,3.3046097889143966
shelby smith,Seton Hall University,3.34534158051059,3.370111983763431
morgan hess,Presbyterian College,3.4576604210903,3.5491685352196143
molly grube,University of Virginia,3.67311935828837,3.55197894796562
elizabeth lis,St. Bonaventure University,3.54921998721918,3.642854721563276
angelina russo,Ball State University,3.6220007900557,3.679300823577122
lainey baker,Samford University,3.77765010262493,3.78325134101027
jaden vickers,"Rutgers, The State University of New Jersey, New Brunswick",3.95514217666641,3.869028535156706
makayla veneziale,Towson University,3.79904528421429,3.8949199205295404
kaiya burton,Bucknell University,3.82925970916556,3.8999254705194417
erin elgas,Brown University,3.88862323425736,3.9579581475716004
olivia grey,Portland State University,4.19350411596502,4.232145646899261
raimy gamsby,"Rutgers, The State University of New Jersey, New Brunswick",4.47255913419873,4.386445492689027
laine barefoot,Lipscomb University,4.49137452722432,4.5260175713995086
ashley hitchcock,"Rutgers, The State University of New Jersey, New Brunswick",4.7851563953254,4.6990427538156965
alexa rehmeier,Eastern Illinois University,4.69569345491849,4.820739950810908
lennon spicer,Morehead State University,4.77859199510429,4.840893218868436
isabelle true,University of St. Thomas (Minnesota),4.9149873131998,5.01688301676194
nicole conway,Yale University,5.05803420013751,5.127867500132164
hallie siems,University of Memphis,5.24184624682508,5.2067276391856225
payton wagner,"Fairleigh Dickinson University, Metropolitan Campus",5.31350865269226,5.45298017356053
aalijah alarcon,University of Texas at El Paso,5.67614966131867,5.683296896370101
elysia cunnigan,Providence College,5.76200824717725,5.81640748664409
emmalyn brinka,University of New Mexico,5.91558220329898,5.84269296832591
mikayla hoschak,University of Memphis,6.06068634649844,6.025567738858983
jenna milan,University of Missouri-Kansas City,5.98181501046228,6.04316731167392
hannah blincoe,University of Houston,6.18520435164826,6.1148904223648675
mackenzee collins,University of Texas at El Paso,6.2340535408786,6.241200775930031
