Player,wRC,through,Headshot,rank
"Edwards, Bailey",0.6666666666666666,15,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/51.png?width=80,8
"Ensley, Taylor",0.5,5,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/44.png?width=80,6
"Ensley, Taylor",7.777777777777778,9,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/44.png?width=80,2
"Ensley, Taylor",2.45,17,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/44.png?width=80,6
"Ensley, Taylor",0.46153846153846156,6,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/44.png?width=80,8
"Ensley, Taylor",6.3,12,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/44.png?width=80,2
"Ensley, Taylor",2,8,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/44.png?width=80,4
"Ensley, Taylor",4.4,15,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/44.png?width=80,2
"Ensley, Taylor",6.3,13,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/44.png?width=80,3
"Ensley, Taylor",2.1538461538461537,7,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/44.png?width=80,4
"Ensley, Taylor",1.3333333333333333,14,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/44.png?width=80,5.5
"Ensley, Taylor",0.14285714285714285,21,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/44.png?width=80,9
"Ensley, Taylor",7,10,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/44.png?width=80,3
"Ensley, Taylor",2.45,18,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/44.png?width=80,6
"Ensley, Taylor",0.1875,20,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/44.png?width=80,9
"Ensley, Taylor",2,16,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/44.png?width=80,4
"Ensley, Taylor",9.818181818181818,11,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/44.png?width=80,1
"Ensley, Taylor",2,19,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/44.png?width=80,7
"Goins, Ellie",0.75,17,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/10.png?width=80,9
"Goins, Ellie",1.875,15,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/10.png?width=80,5
"Goins, Ellie",0,5,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/10.png?width=80,10
